Farm_ID,Soil_Type,Crop_Type,Regenerative_Practice,Climate_Region,Soil_Carbon_Initial,Carbon_Credits
1,sand,soybeans,crop rotation,tropical,12.797972848875858,11.59560639096032
2,sand,corn,cover crops,arid,24.55216822227939,6.098562845423863
3,clay,wheat,reduced-till,semi-arid,17.925715921117753,11.58344573820796
4,silt,soybeans,no-till,temperate,14.725493711537766,9.749827492761556
5,loam,cover crops,reduced-till,arid,28.793908475121626,11.459754559919697
6,silt,corn,reduced-till,temperate,18.20513876199377,6.19429587743424
7,loam,corn,reduced-till,temperate,12.848541129068913,13.55633360422935
8,clay,corn,reduced-till,temperate,19.3377039001338,12.27898763324989
9,loam,corn,reduced-till,arid,13.752497166755813,12.796126065509068
10,clay,soybeans,cover crops,semi-arid,10.447516531547054,7.213697460299636
11,silt,cover crops,crop rotation,arid,24.928524040882102,11.608386514252507
12,clay,cover crops,crop rotation,arid,29.869697654104762,7.51577033300297
13,silt,wheat,crop rotation,arid,12.995970163805897,10.9346467590879
14,clay,cover crops,no-till,arid,29.733912698063424,8.337102224336652
15,loam,soybeans,reduced-till,tropical,21.575985635460846,5.7870080266601
16,loam,cover crops,no-till,semi-arid,13.755107722134657,6.639865711581877
17,loam,corn,cover crops,tropical,27.446320215361283,11.456224419294152
18,loam,cover crops,crop rotation,arid,16.672048249226393,10.413973853396302
19,clay,wheat,reduced-till,tropical,27.294559626221524,12.426406041175209
20,clay,soybeans,cover crops,semi-arid,25.331058887614386,8.642592672707982
21,silt,corn,crop rotation,tropical,22.745350299904175,14.999859589561522
22,sand,cover crops,reduced-till,arid,10.508098093470199,8.534920089350987
23,silt,corn,crop rotation,arid,23.88650992003025,5.4850620651857795
24,silt,corn,cover crops,semi-arid,14.477103418740851,5.1051373552226575
25,loam,cover crops,cover crops,tropical,20.97778341009651,12.088934406100075
26,sand,wheat,no-till,arid,15.164722091665215,6.002326726623291
27,clay,cover crops,crop rotation,tropical,19.244891624232284,10.705537447414244
28,clay,corn,no-till,arid,24.516772175383338,7.056215020838279
29,silt,cover crops,no-till,tropical,20.24537861609705,8.184240896548772
30,clay,cover crops,reduced-till,semi-arid,22.654060384568673,13.6895096879481
31,loam,wheat,crop rotation,semi-arid,21.09517452213641,8.653805414226824
32,sand,cover crops,reduced-till,arid,16.98542910705809,8.698128068834171
33,loam,soybeans,cover crops,arid,15.786790920300247,14.479368375102657
34,silt,soybeans,crop rotation,semi-arid,14.646855025168657,8.814975633257927
35,loam,cover crops,cover crops,tropical,21.842195706893982,5.788765537547232
36,silt,cover crops,crop rotation,tropical,24.608623998879366,6.73095544525776
37,silt,soybeans,cover crops,tropical,14.86089201167237,12.124305666222162
38,silt,soybeans,crop rotation,semi-arid,11.916550388649965,11.699760195195353
39,loam,corn,crop rotation,temperate,29.75656347044322,13.486492989550413
40,silt,soybeans,crop rotation,temperate,10.139444137232447,6.149827463764882
41,silt,wheat,reduced-till,tropical,11.94382323251968,12.608844910896561
42,sand,cover crops,crop rotation,tropical,14.12261787905129,11.177259334963484
43,sand,cover crops,no-till,semi-arid,28.327648180015792,12.289616518872393
44,sand,soybeans,crop rotation,semi-arid,24.177485883160102,5.517873031646276
45,silt,corn,cover crops,temperate,27.766988851700255,13.585016841826175
46,sand,cover crops,no-till,temperate,17.05040984279426,11.421600939582444
47,loam,soybeans,crop rotation,semi-arid,14.292381710633471,10.166281870496789
48,silt,corn,no-till,arid,14.261146212171765,13.826412309959256
49,loam,wheat,no-till,arid,29.027115269577955,14.521346561938241
50,clay,wheat,cover crops,temperate,26.66524503619645,12.233895643529564
51,sand,corn,crop rotation,arid,15.634345488698425,5.857086228017147
52,silt,corn,cover crops,tropical,24.44738427647904,11.25269255408767
53,sand,corn,reduced-till,temperate,22.89408304669216,5.980800034575719
54,sand,soybeans,cover crops,semi-arid,25.420400375812797,5.584984999940305
55,sand,corn,no-till,tropical,29.86499318034945,14.866971040545579
56,loam,soybeans,reduced-till,tropical,26.18489134832468,10.84191345277123
57,silt,wheat,cover crops,semi-arid,11.24727406182068,11.329505994971608
58,loam,wheat,reduced-till,arid,11.942304558320775,12.617731971216141
59,sand,corn,crop rotation,arid,11.222641738307743,14.268916793756667
60,sand,corn,cover crops,temperate,23.856630619350305,5.6750748742914014
61,loam,corn,crop rotation,arid,13.322764723311206,6.415908627520022
62,silt,soybeans,cover crops,temperate,17.104432420934558,6.439198152658079
63,silt,wheat,cover crops,temperate,18.490298467933982,11.192501158712194
64,clay,wheat,no-till,arid,16.86820363130073,6.079541819080908
65,sand,wheat,crop rotation,temperate,12.093972433560955,11.740302397648337
66,clay,wheat,crop rotation,temperate,25.708620038510407,12.337443922862121
67,loam,cover crops,no-till,temperate,17.935832093290955,11.627527019462255
68,loam,soybeans,no-till,semi-arid,14.239634483659389,14.626249187900985
69,clay,wheat,reduced-till,temperate,18.518684814885873,11.67727520159096
70,sand,corn,no-till,arid,10.19042661941073,11.05444926169216
71,clay,cover crops,crop rotation,semi-arid,29.821353396742207,8.795097857608848
72,loam,cover crops,reduced-till,arid,15.007255538542514,13.979255354568261
73,clay,cover crops,crop rotation,semi-arid,18.196858842652247,11.751716591974695
74,sand,corn,no-till,temperate,12.87650563145547,13.097791250201077
75,loam,cover crops,crop rotation,tropical,18.98300567059765,5.412611716718391
76,sand,cover crops,crop rotation,tropical,14.766734695448902,6.060543800101277
77,silt,soybeans,crop rotation,temperate,18.880950216796485,10.096212688251107
78,silt,corn,cover crops,arid,21.405749364045874,7.962457863430384
79,sand,cover crops,crop rotation,tropical,24.74692262228346,11.05151331598572
80,clay,soybeans,cover crops,semi-arid,24.87032688076683,8.255184906616094
81,silt,corn,cover crops,tropical,13.716783474295788,8.004615148476095
82,loam,corn,no-till,tropical,20.450702556928924,12.181123775149967
83,clay,corn,reduced-till,semi-arid,28.99247748165518,12.260481970153153
84,silt,cover crops,no-till,arid,17.99578385870296,7.145302668797005
85,loam,corn,no-till,tropical,22.426669768283972,13.67395819476016
86,clay,corn,reduced-till,tropical,27.67617975986212,6.976089950814419
87,silt,wheat,reduced-till,temperate,10.432597409516964,6.1228529039414825
88,loam,corn,crop rotation,arid,11.640292231902453,9.921425454900401
89,loam,cover crops,no-till,temperate,21.512397495258234,11.88074532753846
90,loam,corn,cover crops,semi-arid,19.36835698078438,14.71465017535216
91,clay,corn,no-till,semi-arid,26.88071611367632,13.263702079337707
92,clay,soybeans,crop rotation,tropical,18.620696132197985,11.58684796890216
93,sand,cover crops,no-till,temperate,17.85955798050285,9.306096117887542
94,loam,cover crops,reduced-till,tropical,23.320899439929647,13.658429253773745
95,silt,cover crops,reduced-till,semi-arid,17.646709507931988,14.55644959398219
96,silt,wheat,no-till,temperate,17.014291172853355,11.073313195621466
97,silt,wheat,reduced-till,arid,14.424047158758434,9.182377503000094
98,silt,corn,crop rotation,tropical,22.114533664333948,9.977754180309796
99,sand,corn,no-till,tropical,19.116504770823116,9.647699244519439
100,clay,corn,crop rotation,semi-arid,16.00244109193911,6.971395349083421
